# r (A),g(r)
3.950000000000000622e+00,1.093632499999999785e+00
3.969999999999999307e+00,1.063776083333333178e+00
3.990000000000001545e+00,1.067664666666666706e+00
4.009999999999998899e+00,1.044200416666666520e+00
4.030000000000000249e+00,1.036404666666666641e+00
4.049999999999998934e+00,1.035257250000000129e+00
4.070000000000000284e+00,1.040065583333333210e+00
4.090000000000000746e+00,9.840021666666666222e-01
4.110000000000000320e+00,9.661369166666666786e-01
4.130000000000000782e+00,9.858546666666666569e-01
4.149999999999999467e+00,1.007546666666666590e+00
4.170000000000000817e+00,9.755817499999999143e-01
4.189999999999999503e+00,9.827559999999998519e-01
4.209999999999999964e+00,9.650534166666666636e-01
4.230000000000001315e+00,9.324079166666665586e-01
4.250000000000000000e+00,9.309692499999998594e-01
4.269999999999998685e+00,9.811559166666666831e-01
4.290000000000000036e+00,9.881845833333334772e-01
4.310000000000000497e+00,9.354629999999998224e-01
4.329999999999999183e+00,9.497478333333333467e-01
4.350000000000000533e+00,9.445264999999998246e-01
4.369999999999999218e+00,9.397932500000000244e-01
4.389999999999999680e+00,9.526773333333333760e-01
4.409999999999999254e+00,9.355623333333333846e-01
4.429999999999999716e+00,9.363926666666667620e-01
4.450000000000001066e+00,9.234067499999999429e-01
4.469999999999999751e+00,9.515371666666666561e-01
4.490000000000001101e+00,9.246433333333331506e-01
4.509999999999998899e+00,1.005386499999999961e+00
4.530000000000000249e+00,9.804294166666668309e-01
4.549999999999998934e+00,9.367221666666667446e-01
4.570000000000000284e+00,9.922101666666666153e-01
4.590000000000000746e+00,9.471245000000001468e-01
4.610000000000000320e+00,9.521376666666668820e-01
4.630000000000000782e+00,9.986389999999999434e-01
4.649999999999999467e+00,9.824275833333334651e-01
4.670000000000000817e+00,1.034244916666666514e+00
4.689999999999999503e+00,1.006668999999999814e+00
4.709999999999999964e+00,1.009679166666666683e+00
4.730000000000001315e+00,1.007803583333333197e+00
4.750000000000000000e+00,1.026056666666666617e+00
4.769999999999998685e+00,1.045058166666666732e+00
4.790000000000000036e+00,1.019070833333333370e+00
4.810000000000000497e+00,1.016682583333333278e+00
4.829999999999999183e+00,1.023857583333333432e+00
4.850000000000000533e+00,1.026315666666666626e+00
4.869999999999999218e+00,1.024519583333333372e+00
4.889999999999999680e+00,9.805804999999999660e-01
4.909999999999999254e+00,1.037699916666666722e+00
4.929999999999999716e+00,1.010608000000000173e+00
4.950000000000001066e+00,9.899860833333334886e-01
4.969999999999999751e+00,1.039211166666666797e+00
4.990000000000001101e+00,1.000713416666666689e+00
5.009999999999998899e+00,1.056575166666666732e+00
5.030000000000000249e+00,1.015219666666666631e+00
5.049999999999998934e+00,1.036341416666666682e+00
5.070000000000000284e+00,1.023040333333333551e+00
5.090000000000000746e+00,1.016291499999999903e+00
5.110000000000000320e+00,1.032706499999999972e+00
5.130000000000000782e+00,1.013058166666666704e+00
5.149999999999999467e+00,9.930605000000000127e-01
5.170000000000000817e+00,1.026179750000000057e+00
5.189999999999999503e+00,1.015526333333333309e+00
5.209999999999999964e+00,9.764046666666666985e-01
5.230000000000001315e+00,9.795194999999999874e-01
5.250000000000000000e+00,1.004732916666666531e+00
5.269999999999998685e+00,9.896865833333331475e-01
5.290000000000000036e+00,1.002582000000000084e+00
5.310000000000000497e+00,1.017598499999999850e+00
5.329999999999999183e+00,9.841014166666667284e-01
5.350000000000000533e+00,9.516533333333332401e-01
5.369999999999998330e+00,9.969908333333333816e-01
5.389999999999999680e+00,1.019171500000000119e+00
5.409999999999999254e+00,1.001209083333333583e+00
5.429999999999999716e+00,9.977688333333331050e-01
5.450000000000001954e+00,1.004918499999999826e+00
5.469999999999999751e+00,1.011661083333333488e+00
5.490000000000001101e+00,9.862178333333334601e-01
5.509999999999998899e+00,1.015796833333333371e+00
5.530000000000000249e+00,9.992799166666667121e-01
5.549999999999998046e+00,9.824380833333331564e-01
5.570000000000000284e+00,1.033163250000000088e+00
5.590000000000000746e+00,1.019968749999999869e+00
5.610000000000000320e+00,1.014283833333333495e+00
5.630000000000001670e+00,9.797309999999997965e-01
5.649999999999999467e+00,1.008769583333333442e+00
5.670000000000000817e+00,9.895912500000001444e-01
5.689999999999998614e+00,9.923404166666666137e-01
5.709999999999999964e+00,9.740018333333333445e-01
