r (A),HRMC,RMC,LJG,F[F(Q)]
4.07,1.72819412,1.5891093,1.7740925,1.177207896
4.09,1.68366792,1.56064806,1.93661333,1.181175996
4.11,1.69863297,1.551382795,1.78082583,1.181627301
4.13,1.80431788,1.573508065,1.74811583,1.178217394
4.15,1.7850494,1.61579361,1.68332083,1.170918162
4.17,1.82689997,1.599231875,1.71664,1.160058071
4.19,1.85469151,1.57953408,1.67392917,1.146322322
4.21,1.74945249,1.414048395,1.61330083,1.13070049
4.23,1.55374154,1.499056695,1.58884167,1.114379396
4.25,1.54464296,1.431391655,1.62333833,1.098590931
4.27,1.41961161,1.350829215,1.55921583,1.084437447
4.29,1.43155248,1.289959415,1.5914125,1.072726128
4.31,1.47346336,1.23015631,1.50193833,1.063845394
4.33,1.41580455,1.207246615,1.48633167,1.05771118
4.35,1.4639595,1.23171661,1.43426083,1.05379756
4.37,1.41943184,1.219458575,1.36750167,1.051248889
4.39,1.4699933,1.206346175,1.363645,1.049052378
4.41,1.37340227,1.27067787,1.25611792,1.046236081
4.43,1.27006948,1.197804445,1.3660825,1.042051386
4.45,1.30375085,1.17310844,1.19858233,1.036101235
4.47,1.19449889,1.138909755,1.20607917,1.028388443
4.49,1.16092505,1.10527134,1.16584433,1.019275706
4.51,1.07914203,1.0838471,1.21240983,1.009370033
4.53,1.05996886,0.96255114,1.17917458,0.999361023
4.55,1.11613829,1.000925225,1.0889935,0.989852493
4.57,1.08106532,0.97137394,1.16653617,0.981227573
4.59,1.12658175,0.993917515,1.06382017,0.973577947
4.61,1.12616068,0.97974819,1.04527633,0.96671153
4.63,1.10720009,0.94364738,1.11336808,0.960232842
4.65,1.10075393,0.886180135,0.986092,0.953673193
4.67,1.08225129,0.99015002,0.89278125,0.946634965
4.69,1.0550064,0.916111945,1.006915,0.938913126
4.71,1.01179291,0.91193046,0.90450458,0.930562461
4.73,1.02985047,0.89276012,0.89687167,0.921894943
4.75,0.99628909,0.88615021,0.88054367,0.913408922
4.77,0.97632903,0.850067025,0.88189275,0.905669839
4.79,0.93505544,0.786108445,0.90912183,0.899174079
4.81,0.91443643,0.85824196,0.87585958,0.894230892
4.83,0.90687915,0.80199291,0.86720325,0.89089297
4.85,0.86709243,0.808017875,0.95000758,0.888951903
4.87,0.8794986,0.82809418,0.91295133,0.8879992
4.89,0.8598771,0.81803948,0.8211685,0.887535554
4.91,0.94064306,0.76217665,0.88579508,0.887099835
4.93,0.81741831,0.79426615,0.84870067,0.886384424
4.95,0.88772659,0.738631595,0.84995083,0.885307555
4.97,0.82974119,0.75913638,0.82171133,0.884025262
4.99,0.8602757,0.753869815,0.82974183,0.882881106
5.01,0.79415561,0.73447773,0.79283833,0.882307594
5.03,0.80745115,0.744296605,0.86624567,0.882705733
5.05,0.83477007,0.753937575,0.79199458,0.884333772
5.07,0.70216711,0.719539025,0.85391767,0.887233135
5.09,0.79490686,0.77498958,0.8408405,0.891209729
5.11,0.84313321,0.810613865,0.82920733,0.895873974
5.13,0.78883957,0.800559385,0.8177305,0.900728063
5.15,0.86997093,0.818233795,0.84628975,0.905277515
5.17,0.87685732,0.829690825,0.87933108,0.909138299
5.19,0.81488655,0.810835185,0.84556758,0.912113261
5.21,0.90972252,0.782039935,0.77576075,0.914220178
5.23,0.85322804,0.83973035,0.83872567,0.91566657
5.25,0.89591291,0.842688015,0.84913833,0.916780545
5.27,0.83318341,0.859824145,0.81532958,0.917917304
5.29,0.8694213,0.832844205,0.89422817,0.919366349
5.31,0.82067803,0.82589232,0.78550625,0.92128354
5.33,0.88318396,0.864290005,0.86223883,0.923663729
