Step,CPU,Temperature (K),Pressure (GPa),Volume,v_nAtom,v_FU,c_PE,Energy (eV/FU),c_T,MSD (Å$^2$),c_MSD2[4]
6700.0,352.25252,299.84363,-0.65481915,130742.65,12960.0,1620.0,-22053.43,-13.613228,299.84363,1.5243452,1.5243452
6800.0,357.5155,297.3117,-0.56064855,130742.65,12960.0,1620.0,-22049.498,-13.610802,297.3117,1.5220323,1.5220323
6900.0,362.7629,306.33595,-0.59136528,130742.65,12960.0,1620.0,-22054.946,-13.614164,306.33595,1.5391818,1.5391818
7000.0,368.03548,302.59879,-0.58993625,130742.65,12960.0,1620.0,-22047.182,-13.609372,302.59879,1.5464484,1.5464484
7100.0,373.30501,311.04684,-0.59709081,130742.65,12960.0,1620.0,-22051.518,-13.612048,311.04684,1.5562076,1.5562077
7200.0,378.5996,303.24203,-0.62169777,130742.65,12960.0,1620.0,-22049.182,-13.610606,303.24203,1.5474174,1.5474174
7300.0,383.90148,302.88252,-0.59276032,130742.65,12960.0,1620.0,-22052.714,-13.612786,302.88252,1.5439102,1.5439103
7400.0,389.14044,302.88365,-0.63663282,130742.65,12960.0,1620.0,-22053.845,-13.613484,302.88365,1.5368976,1.5368976
7500.0,394.40813,301.62184,-0.57517114,130742.65,12960.0,1620.0,-22054.482,-13.613878,301.62184,1.5338969,1.5338969
7600.0,399.6997,305.21693,-0.58924242,130742.65,12960.0,1620.0,-22060.314,-13.617478,305.21693,1.5578884,1.5578884
7700.0,404.95293,301.11023,-0.62935384,130742.65,12960.0,1620.0,-22056.426,-13.615078,301.11023,1.5820668,1.5820668
7800.0,410.22626,303.80824,-0.6415092400000001,130742.65,12960.0,1620.0,-22063.203,-13.619261,303.80824,1.5865518,1.5865518
7900.0,415.5136,301.93047,-0.50104663,130742.65,12960.0,1620.0,-22064.519,-13.620073,301.93047,1.5790365,1.5790365
8000.0,420.78857,301.43356,-0.6882699800000001,130742.65,12960.0,1620.0,-22064.494,-13.620058,301.43356,1.5827288,1.5827288
8100.0,426.05677,302.1827,-0.62906222,130742.65,12960.0,1620.0,-22060.955,-13.617873,302.1827,1.577853,1.5778531
8200.0,431.28761,308.96,-0.57522388,130742.65,12960.0,1620.0,-22064.827,-13.620264,308.96,1.5945118,1.5945118
8300.0,436.54802,302.57911,-0.60081056,130742.65,12960.0,1620.0,-22061.266,-13.618065,302.57911,1.613969,1.613969
8400.0,441.84193,302.68325,-0.55495934,130742.65,12960.0,1620.0,-22063.592,-13.619501,302.68325,1.6234342,1.6234342
8500.0,447.10739,303.63662,-0.58956685,130742.65,12960.0,1620.0,-22068.029,-13.62224,303.63662,1.6270042,1.6270042
