Step,CPU,Temperature (K),Pressure (GPa),Volume,v_nAtom,v_FU,c_PE,Energy (eV/FU),c_T,MSD (Å$^2$),c_MSD2[4]
7600.0,385.6472,240.09179,-2.3088618,131362.06,12960.0,1620.0,-22421.514,-13.840441,240.09179,0.10096298,0.10096111
7700.0,390.75347,278.38163,-2.6668815,131362.06,12960.0,1620.0,-22473.461,-13.872507,278.38163,0.098080687,0.098082682
7800.0,395.80247,274.24003,-2.43025,131362.06,12960.0,1620.0,-22467.222,-13.868655,274.24003,0.09657584,0.096576981
7900.0,400.89563,248.2609,-2.4875734,131362.06,12960.0,1620.0,-22434.916,-13.848714,248.2609,0.11282289,0.11282234
8000.0,406.01728,280.17553,-2.9831456,131362.06,12960.0,1620.0,-22455.275,-13.861281,280.17553,0.10654869,0.10655034
8100.0,411.10938,266.95952,-2.3811182,131362.06,12960.0,1620.0,-22438.181,-13.850729,266.95952,0.11423065,0.114233
8200.0,416.14549,274.16751,-2.4248332,131362.06,12960.0,1620.0,-22445.677,-13.855356,274.16751,0.12968504,0.12968801
8300.0,421.28016,273.56623,-2.3389209,131362.06,12960.0,1620.0,-22441.889,-13.853018,273.56623,0.12245974,0.12245692
8400.0,426.3471,307.46655,-2.9701013,131362.06,12960.0,1620.0,-22477.748,-13.875153,307.46655,0.096723157,0.096728357
8500.0,431.47155,282.62655,-2.690546,131362.06,12960.0,1620.0,-22446.301,-13.855741,282.62655,0.10308027,0.10307933
8600.0,436.5436,275.77337,-2.3439444000000003,131362.06,12960.0,1620.0,-22425.497,-13.842899,275.77337,0.13343857,0.13343512
8700.0,441.63449,298.45117,-2.7009066,131362.06,12960.0,1620.0,-22438.271,-13.850785,298.45117,0.1173756,0.11737889
8800.0,446.75972,285.48795,-3.328814,131362.06,12960.0,1620.0,-22416.653,-13.83744,285.48795,0.1054453,0.10544993
8900.0,451.82257,316.46959,-2.5335071,131362.06,12960.0,1620.0,-22438.873,-13.851156,316.46959,0.10961987,0.10962182
9000.0,456.8549,319.45351,-2.498746,131362.06,12960.0,1620.0,-22444.04,-13.854346,319.45351,0.1139803,0.11398091
9100.0,461.96685,296.99644,-2.1978353,131362.06,12960.0,1620.0,-22435.443,-13.849039,296.99644,0.12710896,0.12711253
9200.0,467.04528,307.73112,-2.1247916,131362.06,12960.0,1620.0,-22462.945,-13.866015,307.73112,0.11721135,0.11721191
9300.0,472.1838,293.18058,-2.5855419000000004,131362.06,12960.0,1620.0,-22451.491,-13.858945,293.18058,0.10709329,0.10709633
9400.0,477.27118,260.99249,-3.2891047,131362.06,12960.0,1620.0,-22408.773,-13.832576,260.99249,0.087244187,0.087244138
9500.0,482.39571,314.92677,-2.317499,131362.06,12960.0,1620.0,-22454.847,-13.861017,314.92677,0.12103174,0.12103305
9600.0,487.514,298.11714,-2.0278229,131362.06,12960.0,1620.0,-22426.286,-13.843386,298.11714,0.13956706,0.13956949
9700.0,492.63048,305.57606,-3.2472182000000003,131362.06,12960.0,1620.0,-22420.17,-13.839611,305.57606,0.12575115,0.1257538
9800.0,497.7303,308.02604,-2.5821183000000003,131362.06,12960.0,1620.0,-22422.229,-13.840882,308.02604,0.10030033,0.10030143
9900.0,502.81638,333.92233,-2.3312486000000003,131362.06,12960.0,1620.0,-22461.03,-13.864833,333.92233,0.13060382,0.13060341
10000.0,507.92754,301.35903,-2.3487284,131362.06,12960.0,1620.0,-22438.552,-13.850958,301.35903,0.17401976,0.1740269
10100.0,513.02566,278.26741,-2.3997756000000003,131362.06,12960.0,1620.0,-22418.708,-13.838709,278.26741,0.14932335,0.1493237
10200.0,518.13555,300.11464,-2.3360220000000003,131362.06,12960.0,1620.0,-22454.597,-13.860862,300.11464,0.12811489,0.12811635
10300.0,523.20179,293.74981,-2.3952175,131362.06,12960.0,1620.0,-22444.966,-13.854917,293.74981,0.098132059,0.098134068
10400.0,528.35647,292.44894,-2.6954890000000002,131362.06,12960.0,1620.0,-22435.586,-13.849127,292.44894,0.11685008,0.11685217
10500.0,533.48811,294.02797,-2.0022647,131362.06,12960.0,1620.0,-22428.518,-13.844764,294.02797,0.13604693,0.13604865
10600.0,538.60264,287.49857,-1.9267988000000003,131362.06,12960.0,1620.0,-22418.373,-13.838502,287.49857,0.14996248,0.14996336
10700.0,543.68644,324.43828,-2.4679798,131362.06,12960.0,1620.0,-22454.323,-13.860694,324.43828,0.12591587,0.12591857
10800.0,548.79151,306.71407,-2.3926425,131362.06,12960.0,1620.0,-22427.324,-13.844027,306.71407,0.13853511,0.13853757
10900.0,553.87441,286.77731,-2.3096192,131362.06,12960.0,1620.0,-22406.52,-13.831185,286.77731,0.14568243,0.14568188
11000.0,558.9666,293.22702,-2.4386462,131362.06,12960.0,1620.0,-22413.428,-13.835449,293.22702,0.130633,0.13063286
11100.0,564.05456,313.89122,-2.7709486,131362.06,12960.0,1620.0,-22440.543,-13.852187,313.89122,0.11908922,0.1190913
11200.0,569.14284,289.00802,-2.3149961,131362.06,12960.0,1620.0,-22418.457,-13.838554,289.00802,0.14002174,0.14002516
